Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
2382,24.637,20260207_212739,713,Left,Operation,6.0,4,True,433,343
2383,24.637,20260207_212739,713,Right,Operation,4.6,5,True,783,360
2384,24.706,20260207_212739,715,Left,Operation,5.1,4,True,430,347
2385,24.706,20260207_212739,715,Right,Operation,2.3,5,True,785,360
2386,24.775,20260207_212739,717,Left,Operation,2.8,4,True,430,347
2387,24.775,20260207_212739,717,Right,Operation,1.8,5,True,791,361
2388,24.844,20260207_212739,719,Left,Operation,1.1,4,True,428,348
2389,24.844,20260207_212739,719,Right,Operation,2.8,5,True,794,365
2390,24.914,20260207_212739,721,Left,Operation,1.5,4,True,428,352
2391,24.914,20260207_212739,721,Right,Operation,2.0,5,True,793,365
2392,24.983,20260207_212739,723,Left,Operation,1.9,4,True,427,356
2393,24.983,20260207_212739,723,Right,Operation,1.1,5,True,791,366
2394,25.052,20260207_212739,725,Left,Operation,2.2,4,True,425,360
2395,25.052,20260207_212739,725,Right,Operation,1.2,5,True,792,368
2396,25.121,20260207_212739,727,Left,Operation,2.0,4,True,425,363
2397,25.121,20260207_212739,727,Right,Operation,1.5,5,True,793,372
2398,25.190,20260207_212739,729,Left,Operation,1.3,4,True,424,365
2399,25.190,20260207_212739,729,Right,Delay,1.9,4,True,795,375
2400,25.259,20260207_212739,731,Left,Operation,1.4,4,True,426,366
2401,25.259,20260207_212739,731,Right,Delay,1.5,4,True,796,376
2402,25.328,20260207_212739,733,Left,Delay,1.0,4,True,427,366
2403,25.328,20260207_212739,733,Right,Delay,1.3,4,True,797,374
2404,25.397,20260207_212739,735,Left,Delay,1.1,4,True,428,367
2405,25.397,20260207_212739,735,Right,Delay,1.3,4,True,794,374
2406,25.466,20260207_212739,737,Left,Delay,1.1,4,True,428,368
2407,25.466,20260207_212739,737,Right,Delay,1.3,4,True,794,375
2408,25.536,20260207_212739,739,Left,Delay,1.0,4,True,429,369
2409,25.536,20260207_212739,739,Right,Delay,1.1,4,True,793,374
2410,25.605,20260207_212739,741,Left,Delay,1.0,4,True,427,369
2411,25.605,20260207_212739,741,Right,Delay,1.3,4,True,792,371
2412,25.674,20260207_212739,743,Left,Operation,3.2,3,True,424,357
2413,25.674,20260207_212739,743,Right,Operation,3.2,5,True,789,360
2414,25.743,20260207_212739,745,Left,Operation,8.7,4,True,428,328
2415,25.743,20260207_212739,745,Right,Operation,7.8,5,True,784,335
2416,25.812,20260207_212739,747,Left,Operation,13.0,4,True,433,305
2417,25.812,20260207_212739,747,Right,Operation,12.9,5,True,776,303
2418,25.881,20260207_212739,749,Left,Operation,21.3,3,True,429,240
2419,25.881,20260207_212739,749,Right,Operation,23.3,3,True,781,234
2420,25.950,20260207_212739,751,Left,Operation,24.6,1,True,393,204
2421,25.950,20260207_212739,751,Right,Operation,27.6,1,True,829,198
2422,26.019,20260207_212739,753,Left,Transport,31.9,0,False,315,202
2423,26.019,20260207_212739,753,Right,Transport,35.2,0,False,913,180
2424,26.088,20260207_212739,755,Left,Transport,42.0,0,False,214,227
2425,26.088,20260207_212739,755,Right,Transport,45.7,0,False,1019,200
2426,26.158,20260207_212739,757,Left,Transport,49.0,0,False,136,283
2427,26.158,20260207_212739,757,Right,Transport,47.0,0,False,1087,245
2428,26.227,20260207_212739,759,Left,Transport,43.3,0,False,107,343
2429,26.227,20260207_212739,759,Right,Transport,38.1,0,False,1104,296
2430,26.296,20260207_212739,761,Left,Transport,29.3,0,False,117,374
2431,26.296,20260207_212739,761,Right,Transport,23.6,0,False,1104,324
2432,26.365,20260207_212739,763,Left,Transport,18.0,0,False,143,385
2433,26.365,20260207_212739,763,Right,Transport,12.1,0,False,1108,332
2434,26.434,20260207_212739,765,Left,Transport,12.5,0,False,160,378
2435,26.434,20260207_212739,765,Right,Transport,5.2,0,False,1108,339
2436,26.503,20260207_212739,767,Left,Transport,8.4,0,False,164,372
2437,26.503,20260207_212739,767,Right,Transport,3.2,0,False,1112,337
2438,26.572,20260207_212739,769,Left,Transport,3.7,0,False,160,371
2439,26.572,20260207_212739,769,Right,Transport,2.7,0,False,1111,340
2440,26.641,20260207_212739,771,Left,Transport,2.6,0,False,158,365
2441,26.641,20260207_212739,771,Right,Transport,2.1,0,False,1107,342
2442,26.710,20260207_212739,773,Left,Transport,2.8,0,False,154,362
2443,26.710,20260207_212739,773,Right,Transport,3.0,0,False,1107,351
2444,26.779,20260207_212739,775,Left,Transport,2.3,0,False,151,362
2445,26.779,20260207_212739,775,Right,Transport,5.9,0,False,1111,368
2446,26.849,20260207_212739,777,Left,Transport,2.6,0,False,149,356
2447,26.849,20260207_212739,777,Right,Transport,6.1,0,False,1106,373
2448,26.918,20260207_212739,779,Left,Transport,2.1,0,False,152,356
2449,26.918,20260207_212739,779,Right,Transport,8.8,0,False,1089,387
2450,26.987,20260207_212739,781,Left,Transport,1.8,0,False,155,356
2451,26.987,20260207_212739,781,Right,Transport,9.6,0,False,1069,396
2452,27.056,20260207_212739,783,Left,Transport,2.0,0,False,155,352
2453,27.056,20260207_212739,783,Right,Transport,11.5,0,False,1047,387
